ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,13.72332,0.5651,8.25753,-1
N2,3.38249,13.43773,6.66338,-1
N3,3.59267,1.86601,7.9326,0
N4,5.26879,3.54018,7.42532,0
N5,0.39282,1.9931,9.01532,0
N6,3.19842,6.38683,8.29376,0
N7,3.06351,4.13687,8.17603,0
N8,4.21527,8.7057,7.08156,0
N9,6.52919,8.82361,7.88545,0
N10,3.31076,11.00246,6.83749,0
N11,6.37416,12.45318,8.03832,0
N12,5.09888,10.63006,8.01854,0
N13,5.45208,6.7757,7.63648,0
N14,8.49548,11.46324,8.35146,0
N15,15.64684,12.06308,8.1878,-4
N16,13.01061,8.85144,8.35115,-42
N17,13.33447,11.27387,8.32957,-3
N18,17.29446,10.26715,8.05628,8
N19,14.99557,7.41107,8.19053,-36
N20,15.10833,9.77733,8.19705,2
N21,18.15479,8.06181,7.9664,-47
N22,11.44064,0.73835,8.78201,20
N23,13.10796,4.05956,8.3631,39
N24,9.10083,4.00224,9.42465,22
N25,11.03884,5.23317,8.89181,58
N26,9.22325,1.56559,9.40614,53
N27,11.07751,2.92199,8.8688,-1
N28,12.72555,6.57975,8.3926,-1
N29,7.27117,2.71399,9.99935,17
N30,30.13369,25.6076,7.62916,0
N31,20.41176,12.56314,7.85291,-20
N32,18.39097,5.01223,7.84451,57
N33,19.1336,0.89536,7.71785,13
N34,21.87554,3.93721,7.77211,0
N35,21.49829,1.4485,7.71001,9
N36,17.54513,2.68718,7.80987,21
N37,19.8153,3.13292,7.78094,-4
N38,16.15146,4.5228,7.91101,7
N39,22.67363,12.30485,7.49215,-9
N40,21.07464,8.87209,7.77514,-31
N41,25.18926,9.11309,7.43896,-7
N42,23.26383,7.79522,7.59576,-43
N43,24.91635,11.53491,7.23684,-61
N44,23.0692,10.10391,7.52876,-5
N45,21.64948,6.30707,7.80598,21
N46,26.97604,10.5726,7.39285,-11
N47,33.38343,7.59949,6.54939,0
N48,29.64312,9.73598,8.28018,0
N49,32.77933,11.10112,7.14882,0
N50,31.3551,6.66017,7.30263,0
N51,31.58103,8.92752,7.41417,0
N52,0.86869,10.78319,6.05405,0
N53,28.19334,0.53732,8.50583,0
N54,29.98947,4.09973,7.63744,0
N55,26.56507,4.73052,8.9657,0
N56,30.07866,1.69388,7.54604,0
N57,28.27953,2.88802,8.53602,0
N58,29.17753,6.32611,8.19391,0
N59,14.03606,13.65335,8.28837,12
N60,5.69231,1.25097,7.07814,0
N61,0.55913,17.3999,9.32252,-6
N62,1.48371,14.20816,7.90835,44
N63,4.20899,16.69186,7.69704,20
N64,2.76062,18.38342,8.7666,25
N65,2.17471,16.15805,8.63586,0
N66,32.8101,15.89312,9.20292,25
N67,5.36873,25.83994,8.77025,1
N68,7.04691,22.06246,9.68794,0
N69,5.37728,21.20347,8.35125,0
N70,6.22369,25.1725,6.67322,0
N71,5.91818,23.55362,8.21328,0
N72,4.85246,18.94402,7.9345,-1
N73,16.76247,21.84912,8.35012,11
N74,15.31095,25.16626,8.28395,-60
N75,12.69093,21.93486,8.21748,-10
N76,12.98973,24.37593,8.22986,-42
N77,14.71457,20.53289,8.30048,-13
N78,14.76988,22.88384,8.32332,7
N79,18.14094,23.79574,8.37658,-58
N80,11.70685,13.68572,8.25562,3
N81,13.13864,17.15551,8.26759,28
N82,9.02474,16.71695,8.00345,3
N83,10.90249,18.12913,8.0853,22
N84,9.38331,14.30003,8.14656,30
N85,11.17497,15.83901,8.18836,0
N86,12.50308,19.63406,8.22703,-2
N87,7.28476,15.21184,7.95952,7
N88,30.50555,12.153,8.27471,0
N89,20.6123,25.2891,7.4452,0
N90,18.48832,18.14945,8.32701,-19
N91,18.79952,14.08144,8.21068,-9
N92,21.65199,16.50549,7.66266,0
N93,17.28885,15.98402,8.49279,-7
N94,19.5857,16.12542,8.25297,1
N95,16.2019,18.00246,8.66574,0
N96,22.49605,24.49648,8.64399,0
N97,25.30477,21.81883,8.64108,0
N98,23.49906,20.15112,8.14705,0
N99,20.91591,22.88885,7.82387,1
N100,24.36775,23.98558,8.98644,0
N101,22.94244,22.15873,8.74449,0
N102,21.58676,19.00281,7.33929,-7
N103,26.59555,23.82523,8.51551,0
N104,33.12944,19.36879,10.41566,0
N105,31.58629,24.10039,8.44041,0
N106,29.28861,23.38526,8.22026,0
N107,29.92065,20.01409,9.4513,0
N108,30.95953,21.95353,9.13188,0
N109,28.32772,13.05631,8.34786,0
N110,26.07682,16.47006,8.24456,0
N111,27.94885,17.80228,8.40813,0
N112,30.30832,14.4393,8.51187,0
N113,26.25653,14.06452,8.35593,0
N114,28.21139,15.43629,8.40101,0
N115,27.78438,20.28005,8.55506,0
N116,24.22906,15.08349,8.03435,0
N117,6.7143,25.6495,5.41715,0
N118,23.77438,25.20525,8.41912,0
N119,0.34128,7.48292,6.09056,0
N120,8.72707,0.3321,9.55196,253
C1,1.42531,2.42109,8.6804,0
C2,4.83704,2.28061,7.51672,1
C3,4.37771,5.91131,7.85886,0
C4,2.32566,5.35172,8.48925,0
C5,2.7414,2.81235,8.25061,0
C6,4.37986,4.49111,7.75478,0
C7,3.902,12.24337,7.16841,0
C8,5.36655,8.14535,7.55998,0
C9,7.17597,11.36807,8.1687,0
C10,5.09402,11.99193,7.86004,0
C11,4.11996,10.00207,7.28895,0
C12,6.36787,10.11965,8.0688,0
C13,17.13171,8.91284,8.04817,-25
C14,14.29484,12.25691,8.26911,-10
C15,13.65619,7.62897,8.30415,-6
C16,15.70923,8.55502,8.14346,-61
C17,16.05939,10.80638,8.14718,-25
C18,13.75858,9.99466,8.295,2
C19,12.61238,1.38001,8.48527,17
C20,12.37179,5.17689,8.54594,-14
C21,8.55551,2.79339,9.58991,28
C22,10.55442,1.67553,9.00726,-9
C23,12.43763,2.84537,8.52746,34
C24,10.38947,4.09661,9.06908,-6
C25,17.40803,4.0597,7.85459,-2
C26,20.46891,0.60253,7.68376,9
C27,20.98229,5.02943,7.79052,44
C28,19.64358,4.51934,7.8061,26
C29,18.79107,2.21175,7.76755,-3
C30,21.16223,2.79852,7.76457,27
C31,21.48965,11.71347,7.68079,-47
C32,21.90389,7.73458,7.71378,-10
C33,25.65903,10.386,7.35295,-1
C34,23.62793,11.35833,7.39685,-19
C35,21.69501,10.10268,7.68906,-85
C36,23.87131,8.96441,7.51351,6
C37,33.90178,10.86014,6.59781,0
C38,30.52263,10.7613,8.01704,0
C39,30.23427,7.15781,7.80791,0
C40,32.18079,7.71347,7.05854,0
C41,31.7509,10.29895,7.47548,0
C42,30.30252,8.62243,7.90587,0
C43,29.41759,0.5807,7.92051,0
C44,29.08665,4.95142,8.17101,0
C45,27.16493,4.74677,10.07855,0
C46,27.64397,1.70923,8.78979,0
C47,29.51734,2.85902,7.85863,0
C48,27.97705,4.26348,8.7909,0
C49,0.01851,16.13199,9.05492,42
C50,2.77798,14.42137,7.49915,2
C51,3.90801,17.92741,8.16168,-4
C52,1.8828,17.43326,8.96776,19
C53,1.11088,15.31103,8.59234,-5
C54,3.24184,15.74262,7.89251,17
C55,5.73019,26.14491,7.55278,0
C56,4.73852,20.14602,8.54283,0
C57,7.88789,21.9189,10.51612,0
C58,5.3981,24.52954,9.19371,0
C59,6.36562,23.85246,6.97498,0
C60,6.09029,22.20996,8.72301,0
C61,16.9525,23.19331,8.35121,-50
C62,13.94336,25.3534,8.2641,-1
C63,13.37914,20.72135,8.25269,-16
C64,15.42771,21.66318,8.32625,-46
C65,15.68309,23.90527,8.32211,-65
C66,13.41559,23.07263,8.25619,5
C67,12.86143,14.40069,8.27595,29
C68,12.25911,18.20314,8.19491,2
C69,8.60536,15.41544,8.03977,1
C70,10.69778,14.54312,8.19935,17
C71,12.56313,15.89121,8.24534,48
C72,10.33285,16.9259,8.08974,-3
C73,17.36534,17.36207,8.49776,1
C74,20.14323,14.00023,7.95055,1
C75,21.01902,17.74422,7.81033,-11
C76,19.6256,17.48893,8.17117,-5
C77,18.45094,15.36962,8.35039,2
C78,20.71862,15.45447,7.9274,-7
C79,21.31456,24.18147,7.94085,0
C80,22.12064,20.2824,7.92593,0
C81,25.46638,23.15402,8.70514,0
C82,23.15664,23.42263,9.1202,0
C83,21.75916,21.72843,8.14264,-1
C84,23.99858,21.30559,8.56997,0
C85,32.25283,20.04193,10.03186,0
C86,30.29187,24.29464,8.16231,0
C87,29.0445,20.88803,8.9188,0
C88,31.08072,20.66053,9.57199,0
C89,32.02114,22.92246,8.93313,0
C90,29.65847,22.16891,8.69738,0
C91,29.65737,13.20352,8.37695,0
C92,27.79362,18.98416,8.48713,0
C93,25.53856,15.18882,8.2155,0
C94,27.57746,14.16219,8.37424,0
C95,29.64197,15.57767,8.52066,0
C96,27.36992,16.52316,8.35571,0
H1,14.62906,1.03167,8.19652,0
H2,9.07898,10.63628,8.35717,0
H3,11.82168,7.04288,8.51802,0
H4,19.11216,8.44263,7.90817,0
H5,6.77252,3.59556,10.02273,0
H6,2.75889,13.23774,5.8781,0
H7,18.04366,7.03728,7.94465,0
H8,6.39397,6.41045,7.75749,0
H9,6.71537,1.87694,9.84239,0
H10,8.92929,12.4069,8.31076,0
H11,31.06975,25.91069,7.34913,0
H12,15.95165,5.52339,7.98566,0
H13,27.61294,9.81838,7.6455,0
H14,28.37619,6.7914,8.61533,0
H15,2.22678,10.86474,6.44951,0
H16,19.49796,12.11534,7.98619,0
H17,6.08688,25.2896,4.69144,0
H18,15.34946,3.90179,7.96265,0
H19,22.63113,5.9942,7.78652,0
H20,27.32965,11.51943,7.57582,0
H21,14.92374,14.1629,8.27626,0
H22,32.16714,16.6539,9.41409,0
H23,11.55586,20.02169,8.1866,0
H24,18.17754,24.81517,8.36721,0
H25,6.65933,16.00118,7.84892,0
H26,6.24078,1.39611,6.22781,0
H27,19.00601,23.2463,8.27319,0
H28,32.32473,15.0402,8.88908,0
H29,5.63447,18.69403,7.31979,0
H30,6.91621,14.24733,7.97359,0
H31,31.47304,12.48754,8.18406,0
H32,16.13142,19.00992,8.54322,0
H33,27.5326,23.46159,8.24278,0
H34,26.84205,20.82035,8.53564,0
H35,23.60002,15.88676,7.89752,0
H36,19.79308,25.00088,6.91147,0
H37,15.32285,17.48538,8.6302,0
H38,22.36315,18.7132,6.74107,0
H39,23.82272,14.14818,7.92786,0
H40,26.60533,24.82976,8.69584,0
H41,7.61428,25.18059,5.27979,0
H42,26.08741,2.62542,9.43068,0
H43,0.02533,18.20354,9.76435,0
H44,7.81632,0.41874,10.02117,0
O1,33.16158,22.58249,9.22336,0
O2,26.42989,1.7062,9.33373,0
O3,1.15481,5.34588,8.86084,0
O4,5.06223,24.14395,10.29923,0
