ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,15.75303,1.02154,8.11025,0
N2,4.42757,9.33313,10.20597,-2
N3,2.32919,0.73106,9.37487,11
N4,5.90091,1.85538,7.6581,21
N5,4.69953,0.2466,8.9269,5
N6,1.45637,2.55827,7.9985,-3
N7,4.60385,3.55951,6.48889,17
N8,3.60647,1.94711,7.84583,1
N9,1.45843,4.31189,6.41018,22
N10,5.7583,5.22944,8.31366,-5
N11,9.17955,7.49965,8.82551,-4
N12,8.10018,5.59092,7.88656,-1
N13,4.74793,7.09938,9.49577,-1
N14,7.77506,9.05918,10.11382,-13
N15,6.93701,7.06706,9.18457,1
N16,6.9198,3.78451,6.93365,-4
N17,10.03376,9.38927,9.81622,-3
N18,19.19735,5.82857,8.29823,-1
N19,18.35372,9.88313,8.3958,-1
N20,16.02047,9.23853,7.99016,-2
N21,19.96906,8.14524,8.6802,0
N22,16.79881,5.6626,7.91112,-1
N23,17.75463,7.6646,8.21302,0
N24,1.96333,6.29108,8.96186,0
N25,13.441,1.22957,7.73968,0
N26,12.37413,5.67753,7.53327,-1
N27,14.93022,3.13765,7.82732,-1
N28,11.22473,1.42519,7.24698,0
N29,12.58256,3.41147,7.53928,0
N30,14.52243,6.44039,7.69207,0
N31,8.99815,2.07758,6.40797,0
C1,2.0796,3.33245,7.0802,18
C2,3.48168,0.01186,9.47548,2
C3,5.74712,3.00711,6.99411,8
C4,3.50936,2.99768,6.98539,31
C5,2.38674,1.69989,8.47378,15
C6,4.77214,1.29833,8.13027,-2
C7,5.3063,8.2775,9.9662,-17
C8,6.90115,4.89213,7.73112,-1
C9,8.93824,8.6343,9.59434,-1
C10,6.71729,8.27946,9.82718,-7
C11,5.74984,6.38564,8.99775,-7
C12,8.13641,6.73469,8.642,1
C13,0.75877,6.78429,8.63811,0
C14,17.03045,10.12555,8.16523,0
C15,15.85785,6.64629,7.84412,-2
C16,17.9553,6.29237,8.14064,-1
C17,18.7389,8.59855,8.43582,0
C18,16.43238,7.96527,8.00863,-1
C19,14.62768,1.79517,7.88233,0
C20,13.6881,5.36725,7.6263,-1
C21,10.08649,1.87798,6.82281,0
C22,12.36808,2.01982,7.49828,0
C23,13.88194,3.91236,7.66943,0
C24,11.66227,4.541,7.51401,0
H1,16.60484,1.57086,8.22542,0
H2,2.03192,4.93464,5.8511,0
H3,10.87464,9.18694,9.28901,0
H4,13.97607,7.30598,7.64614,0
H5,2.81013,6.84175,9.14738,0
H6,3.47644,9.08475,10.47637,0
H7,2.04532,5.2828,9.01283,0
H8,0.62142,4.71133,6.87074,0
H9,7.81031,3.21098,6.76729,0
H10,9.90313,10.31297,10.20855,0
H11,9.03286,5.1961,7.58367,0
O1,10.43372,4.37166,7.51794,-1
